	Mfran.10_egg_1.genes.results	Mfran.11_egg_2.genes.results	Mfran.12_egg_3.genes.results	Average
SOAP.k45.scaffold129439	14.77356815	14.90061315	14.613854	14.76267844
SOAP.k35.scaffold10206	14.56229403	11.54441393	17.48540083	14.53070293
TRINITY_DN89814_c2_g1_i2	13.64989807	13.7049421	13.36757186	13.57413734
Velvet.k65.Locus_17895_Transcript_11/17_Confidence_0.408_Length_11215	13.00778004	13.04269817	12.67072941	12.90706921
Velvet.k55.Locus_29198_Transcript_31/35_Confidence_0.443_Length_8232	12.92774211	12.94438538	12.62764006	12.83325585
Velvet.k55.Locus_12728_Transcript_30/39_Confidence_0.376_Length_6566	12.58362171	12.71377646	12.46059753	12.58599857
Velvet.k55.Locus_3843_Transcript_39/42_Confidence_0.250_Length_5523	12.52903936	12.52144467	12.26095941	12.43714781
Velvet.k55.Locus_5091_Transcript_30/39_Confidence_0.523_Length_11436	12.45029632	12.48115128	12.16164639	12.36436466
TRINITY_DN89150_c0_g1_i13	12.4291678	12.48593279	12.11945744	12.34485268
SOAP.k65.scaffold77250	12.29764138	12.384856	12.08415776	12.25555172
SOAP.k75.scaffold91819	12.25008412	12.40416543	12.04129433	12.23184796
TRINITY_DN93789_c1_g1_i5	12.21551777	12.2423424	11.92603959	12.12796659
TRINITY_DN93995_c1_g2_i6	12.15094106	12.23234621	11.9603352	12.11454083
SOAP.k45.C3592513	12.16650811	12.16669638	11.86566734	12.06629061
Velvet.k85.Locus_47493_Transcript_1/2_Confidence_0.750_Length_2761	12.0857735	12.09298231	11.82727078	12.00200886
Velvet.k65.Locus_5996_Transcript_222/222_Confidence_0.211_Length_12353	12.03064923	12.03734398	11.75010573	11.93936632
SOAP.k75.scaffold78797	11.89394791	11.95325812	11.73343538	11.86021381
Velvet.k35.Locus_21204_Transcript_7/16_Confidence_0.378_Length_11287	11.94332973	11.96078883	11.62072086	11.84161314
TransAb.k35.R1270956	11.92456161	11.95879876	11.61978062	11.83438033
TransAb.k35.S1240862	11.80271105	11.84253415	11.54000945	11.72841822
