GeneID	egg_ave	cell_ave	morula_ave	blastula_ave	gastrula_ave	prism_ave	pluteus_ave
SOAP.k45.scaffold129439	14.76267844	12.25879351	12.39088601	12.86776908	12.45969015	12.61027618	13.0446258
SOAP.k35.scaffold10206	14.53070293	11.70489418	12.81139909	13.01675185	14.14509853	10.26953874	12.56400585
TRINITY_DN89814_c2_g1_i2	13.57413734	13.29196483	13.32472768	10.65158959	8.894477769	8.037207028	7.700638085
Velvet.k65.Locus_17895_Transcript_11/17_Confidence_0.408_Length_11215	12.90706921	10.55413498	10.59313322	10.59550917	10.83461865	11.00709046	11.27159357
Velvet.k55.Locus_29198_Transcript_31/35_Confidence_0.443_Length_8232	12.83325585	11.47334584	11.41087131	9.551936636	9.023849518	8.502956797	8.010777761
Velvet.k55.Locus_12728_Transcript_30/39_Confidence_0.376_Length_6566	12.58599857	13.39012282	13.31693045	9.491069843	8.212819403	6.718193177	6.387874578
Velvet.k55.Locus_3843_Transcript_39/42_Confidence_0.250_Length_5523	12.43714781	10.87262827	10.59574593	9.688975764	9.964979135	10.43879544	10.0428147
Velvet.k55.Locus_5091_Transcript_30/39_Confidence_0.523_Length_11436	12.36436466	11.02956458	10.51386945	8.640326858	10.45592971	10.35634641	9.881777796
TRINITY_DN89150_c0_g1_i13	12.34485268	13.23198464	13.43513893	11.46528424	10.20078383	10.26675013	10.25425044
SOAP.k65.scaffold77250	12.25555172	10.99537913	11.13002447	11.88705404	12.30669355	11.73380856	10.43067254
SOAP.k75.scaffold91819	12.23184796	12.38118253	12.60957827	13.34313202	11.11515459	10.07779142	9.715935332
TRINITY_DN93789_c1_g1_i5	12.12796659	10.07266408	10.11479448	9.0076955	8.417567414	7.986832635	7.980059722
TRINITY_DN93995_c1_g2_i6	12.11454083	11.2333204	11.22088725	12.25493962	11.69610082	10.68596974	10.5040389
SOAP.k45.C3592513	12.06629061	12.15822488	12.25960432	8.779704509	6.988047233	6.051101838	6.212540666
Velvet.k85.Locus_47493_Transcript_1/2_Confidence_0.750_Length_2761	12.00200886	9.747670251	9.360428406	9.814317349	9.638073615	9.002341087	8.048995563
Velvet.k65.Locus_5996_Transcript_222/222_Confidence_0.211_Length_12353	11.93936632	10.30357626	10.42508596	10.77156092	10.97339359	9.402783254	9.094966305
SOAP.k75.scaffold78797	11.86021381	10.53520366	10.55961555	8.1448707	5.310732616	2.866715939	1.609853761
Velvet.k35.Locus_21204_Transcript_7/16_Confidence_0.378_Length_11287	11.84161314	10.64426285	10.21316046	8.154169506	8.053799758	8.022749059	7.588008153
TransAb.k35.R1270956	11.83438033	10.72218839	10.92552315	11.0456777	10.13532177	9.460598988	9.049396557
TransAb.k35.S1240862	11.72841822	10.99888815	10.24429088	7.205489689	4.360060524	1.25193295	0.725783247
TRINITY_DN94915_c3_g1_i4	11.63811769	10.61839998	10.71253549	8.659033369	7.266340869	6.629434541	6.328248527
Velvet.k55.Locus_29937_Transcript_22/31_Confidence_0.600_Length_6859	11.60057745	11.14831338	11.23042506	9.699852308	7.833037048	7.150465125	6.449873968
Velvet.k75.Locus_17387_Transcript_1/7_Confidence_0.571_Length_2654	11.60024787	10.39233053	10.53906242	11.51889082	11.47995778	10.66003316	9.765472053
TransAb.k35.R1249015	11.55831894	10.51636872	10.1289792	7.18036319	4.346396392	2.358136343	1.42731465
Velvet.k75.Locus_18790_Transcript_1/8_Confidence_0.682_Length_10411	11.52883715	11.01100109	10.70353021	10.14780019	9.314183715	8.73139019	8.383979881
SOAP.k45.scaffold92012	11.50431088	9.950432311	10.05387236	8.523179859	7.612400257	7.679983687	7.383743683
TransAb.k35.S1425183	11.47901325	9.275906978	9.761973713	9.321223509	11.10044208	11.07039285	11.18964189
Velvet.k35.Locus_11721_Transcript_5/10_Confidence_0.409_Length_11636	11.47798884	10.60469426	10.73581857	10.01973496	9.291241795	8.857833351	8.504949395
