Sample	Stage	pCO2	BioRep
Mfran.01	8cell	ambient	1
Mfran.02	8cell	ambient	1
Mfran.03	8cell	ambient	1
Mfran.04	64cell	ambient	2
Mfran.05	64cell	ambient	2
Mfran.06	64cell	ambient	2
Mfran.07	blastula	ambient	3
Mfran.08	blastula	ambient	3
Mfran.09	blastula	ambient	3
Mfran.10	egg	ambient	4
Mfran.11	egg	ambient	4
Mfran.12	egg	ambient	4
Mfran.13	gastrula	ambient	5
Mfran.14	gastrula	ambient	5
Mfran.15	gastrula	ambient	5
Mfran.16	prism	ambient	6
Mfran.17	prism	ambient	6
Mfran.18	prism	ambient	6
Mfran.19	pluteus	ambient	7
Mfran.20	pluteus	ambient	7
Mfran.21	pluteus	ambient	7
