Stage	Gene	Count					
EG	smg9	2.505720103					
CL	smg9	4.722479301					
MO	smg9	4.803504479					
BL	smg9	3.168916164					
GA	smg9	3.972835619					
PR	smg9	3.804877114					
PL	smg9	3.732678247					
EG	smg8	4.085066021					
CL	smg8	5.481580015					
MO	smg8	5.636385031					
BL	smg8	3.400673278					
GA	smg8	4.143403183					
PR	smg8	4.007832511					
PL	smg8	3.971808131					
EG	smg7	4.892265548					
CL	smg7	7.457836413					
MO	smg7	7.301305527					
BL	smg7	5.561899497					
GA	smg7	6.571698221					
PR	smg7	6.930248537					
PL	smg7	6.69601945					
EG	smaug1	-0.479588404					
CL	smaug1	-0.042525731					
MO	smaug1	-0.123607526					
BL	smaug1	1.7008956					
GA	smaug1	3.964333127					
PR	smaug1	4.27152088					
PL	smaug1	4.627202429					
EG	dicer	5.617158991					
CL	dicer	6.447331255					
MO	dicer	6.397245748					
BL	dicer	3.729833365					
GA	dicer	5.25266083					
PR	dicer	5.054126719					
PL	dicer	4.799679065					
EG	dgcr8	3.366054881					
CL	dgcr8	4.808752351					
MO	dgcr8	4.779454122					
BL	dgcr8	2.996131121					
GA	dgcr8	4.049834436					
PR	dgcr8	4.157534655					
PL	dgcr8	4.244404915					
