Stage	Gene	Count
EG	nodal	-0.843304367
CL	nodal	1.703791346
MO	nodal	4.598405661
BL	nodal	7.020804454
GA	nodal	6.202121031
PR	nodal	5.741593027
PL	nodal	5.577593543
EG	gsc	-4.218786488
CL	gsc	-4.329283148
MO	gsc	-1.058682556
BL	gsc	3.428505156
GA	gsc	5.84339156
PR	gsc	5.642721911
PL	gsc	5.386410629
EG	dri	-3.000335879
CL	dri	-3.421794473
MO	dri	-1.432241217
BL	dri	6.720704696
GA	dri	8.40613235
PR	dri	9.191461908
PL	dri	7.377482139
EG	wnt8	-3.690465654
CL	wnt8	1.833211139
MO	wnt8	6.616532068
BL	wnt8	7.196922387
GA	wnt8	6.066141034
PR	wnt8	5.422585204
PL	wnt8	5.04420939
EG	hox11/13b	-3.936120853
CL	hox11/13b	-1.32834481
MO	hox11/13b	-1.927213834
BL	hox11/13b	3.768876215
GA	hox11/13b	6.051464338
PR	hox11/13b	5.430864437
PL	hox11/13b	4.930408725
EG	alx	-4.218786488
CL	alx	-4.574938346
MO	alx	-3.363023342
BL	alx	2.425778157
GA	alx	4.649679833
PR	alx	3.219973232
PL	alx	3.435477612
EG	gcm	-3.690465654
CL	gcm	-5.10325918
MO	gcm	-2.538223119
BL	gcm	7.62786535
GA	gcm	7.571536174
PR	gcm	7.140395873
PL	gcm	6.1727361
EG	bra	-2.78297698
CL	bra	-4.167474206
MO	bra	-1.130057491
BL	bra	6.576591315
GA	bra	6.656020097
PR	bra	6.286827513
PL	bra	6.034716355
EG	lefty2	-2.15815394
CL	lefty2	-0.870429967
MO	lefty2	4.464107277
BL	lefty2	7.281850464
GA	lefty2	6.680214543
PR	lefty2	6.209602072
PL	lefty2	5.427901303
